Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
C7,-7.0955,Inf,3843.9,Inf,0.08624,Inf,43.997,Inf,26.354,Inf,0.71704,Inf,-31733.0,Inf,-54.148,Inf,-31700.0,Inf,-54.051,Inf,90.0,250.0,1.0,2.441e-21,Inf,3
Propyl acetate,-42.291,Inf,5763.8,Inf,5.1709,Inf,47.513,Inf,25.045,Inf,42.993,Inf,-34137.0,Inf,-60.548,Inf,-32310.0,Inf,-55.199,Inf,90.0,250.0,1.0,5.449e-23,Inf,3
Toluene ,-38.39,5.078,5512.4,250.48,4.7175,0.7454,61.023,0.10382,28.373,0.1883,39.223,6.1976,-32725.0,218.13,-52.02,0.65062,-31588.0,282.87,-48.758,0.83055,90.0,250.0,0.99999,3.2529e-5,1.6265e-5,5
Pyridine,-52.142,3.0306,6137.6,147.17,6.7269,0.446,55.332,0.049135,27.47,0.097276,55.93,3.7082,-32658.0,116.06,-53.515,0.35238,-30719.0,173.37,-47.903,0.51276,90.0,250.0,1.0,1.8413e-6,1.8413e-6,4
Butyl acetate,-49.995,4.3973,6575.7,221.21,6.2243,0.64312,69.587,0.060622,26.442,0.11043,51.751,5.3472,-36937.0,154.81,-61.862,0.45047,-35880.0,189.66,-58.868,0.54686,90.0,250.0,0.99999,2.4214e-5,1.2107e-5,5
C8,-41.857,4.8572,6016.3,242.91,5.0936,0.71116,67.026,0.073504,27.015,0.13788,42.351,5.9129,-35615.0,182.42,-58.789,0.53483,-34642.0,227.68,-56.021,0.66019,90.0,250.0,0.99999,2.9609e-5,1.4805e-5,5
Pentyl acetate ,-59.64,2.2717,7531.4,119.86,7.5351,0.32949,89.881,0.04522,27.48,0.04281,62.651,2.7395,-39876.0,62.91,-63.933,0.17166,-39868.0,63.42,-63.912,0.17246,90.0,250.0,1.0,2.3057e-5,7.6857e-6,6
2-Hexanone,-52.602,1.8607,6510.3,92.349,6.6723,0.27272,64.593,0.017201,26.797,0.04174,55.477,2.2675,-35393.0,55.246,-58.884,0.16331,-33983.0,79.869,-54.86,0.23186,90.0,250.0,1.0,6.8848e-7,6.8848e-7,4
Ethylbenzene,-36.364,3.5758,5804.7,185.7,4.3487,0.52026,81.927,0.098407,29.592,0.12985,36.157,4.3257,-35425.0,156.68,-53.858,0.43866,-35133.0,161.0,-53.045,0.45004,90.0,250.0,0.99998,0.00015695,3.9239e-5,7
2-Heptanone,-55.872,3.2427,7138.3,169.32,7.0555,0.47109,85.857,0.047464,27.986,0.049224,58.663,3.9168,-38291.0,68.107,-60.751,0.18813,-38048.0,70.47,-60.078,0.19414,90.0,250.0,1.0,1.2993e-5,6.4963e-6,5
C9,-49.906,1.9381,6886.2,101.82,6.1738,0.28131,87.97,0.038832,28.004,0.040419,51.332,2.339,-38718.0,56.499,-61.308,0.15517,-38614.0,57.025,-61.021,0.15623,90.0,250.0,1.0,1.6808e-5,5.6026e-6,6
Hexyl acetate,-63.508,1.2688,8189.1,69.931,8.0034,0.18269,108.61,0.04462,28.388,0.027041,66.544,1.5189,-42685.0,41.865,-65.903,0.1073,-43923.0,51.182,-69.228,0.13243,90.0,250.0,1.0,4.4173e-5,8.8347e-6,8
2-Octanone,-60.5,1.3289,7839.3,72.752,7.6332,0.19158,105.43,0.047146,28.957,0.032022,63.466,1.5929,-41153.0,46.648,-62.794,0.12097,-42132.0,53.391,-65.435,0.13894,90.0,250.0,1.0,4.8578e-5,9.7155e-6,8
C10,-56.289,1.3122,7681.1,72.102,7.0046,0.18903,107.2,0.046655,28.836,0.029834,58.24,1.5717,-41713.0,44.353,-63.761,0.11426,-42714.0,52.546,-66.456,0.13634,90.0,250.0,1.0,4.7295e-5,9.4589e-6,8
"N,N-dimethylisobutyramide ",-60.993,0.85775,7746.2,46.633,7.7392,0.1238,102.19,0.030183,29.099,0.022736,64.347,1.0294,-40254.0,32.111,-61.338,0.084239,-41038.0,34.892,-63.463,0.091471,90.0,250.0,1.0,2.0287e-5,4.0574e-6,8
Phenol,-76.795,2.0684,8667.5,112.46,9.991,0.29853,102.21,0.071676,28.654,0.053527,83.07,2.4821,-40884.0,77.954,-63.011,0.20453,-41899.0,84.953,-65.759,0.22245,90.0,250.0,0.99999,0.00011796,2.3592e-5,8
Linalool,-68.383,0.9051,8731.3,51.766,8.6845,0.12951,125.54,0.041838,30.17,0.019201,72.207,1.0768,-43807.0,29.358,-63.969,0.070875,-46374.0,48.904,-70.711,0.12396,90.0,250.0,1.0,4.4727e-5,7.4544e-6,9
n-Butylbenzene ,-56.972,0.97733,7765.7,55.227,7.1531,0.14014,119.8,0.046423,31.162,0.02474,59.474,1.1652,-41198.0,34.125,-58.936,0.084152,-42970.0,49.306,-63.625,0.12549,90.0,250.0,1.0,5.2366e-5,8.7277e-6,9
Aniline,-53.266,2.8971,7189.8,158.72,6.7012,0.41769,104.98,0.12995,30.71,0.10015,55.717,3.4729,-38711.0,129.02,-56.467,0.33571,-39546.0,140.67,-58.719,0.36622,90.0,250.0,0.99997,0.00046522,7.7536e-5,9
"N,N-diethylacetamide ",-66.274,0.84754,8098.5,46.564,8.5,0.1221,107.09,0.031037,29.71,0.020671,70.673,1.0152,-40462.0,28.917,-60.503,0.074545,-41670.0,34.22,-63.753,0.088714,90.0,250.0,1.0,1.9733e-5,3.9466e-6,8
2-Nonanone,-70.005,0.9094,8814.5,51.743,8.9092,0.13022,123.51,0.034031,29.795,0.01563,74.075,1.0827,-43905.0,24.233,-64.78,0.058837,-46387.0,44.135,-71.318,0.11294,90.0,250.0,1.0,2.2446e-5,4.4891e-6,8
C11,-63.85,1.5414,8547.0,88.034,8.0012,0.22061,124.9,0.069773,29.549,0.031595,66.526,1.8342,-44583.0,50.167,-66.094,0.12136,-46905.0,82.351,-72.199,0.20893,90.0,250.0,0.99999,0.00012977,2.1629e-5,9
Acetophenone ,-61.613,0.6503,8016.9,36.887,7.8351,0.093171,122.06,0.025975,31.745,0.012888,65.145,0.77467,-40910.0,17.458,-57.605,0.042573,-42999.0,30.705,-63.117,0.078646,90.0,250.0,1.0,1.149e-5,2.2979e-6,8
2-Decanone,-72.244,1.6537,9388.8,97.632,9.1397,0.2354,140.45,0.091125,30.5,0.035244,75.991,1.9572,-46633.0,57.671,-66.841,0.13263,-50466.0,115.79,-76.726,0.28899,90.0,250.0,0.99999,0.00027137,3.8766e-5,10
Octyl acetate,-75.483,1.5095,9726.4,89.451,9.5527,0.21472,142.41,0.062342,29.998,0.03037,79.426,1.7853,-47864.0,50.54,-69.27,0.11788,-52026.0,107.13,-79.978,0.26903,90.0,250.0,1.0,0.0001013,1.6883e-5,9
C12,-68.393,1.6982,9233.6,100.44,8.5683,0.24164,141.47,0.07066,30.259,0.035305,71.241,2.0091,-47235.0,57.414,-68.017,0.13433,-50902.0,119.06,-77.459,0.29928,90.0,250.0,0.99999,0.00012828,2.138e-5,9
Propiophenone ,-65.159,1.0007,8655.9,58.898,8.2501,0.14252,138.96,0.05854,32.312,0.024265,68.595,1.185,-43701.0,35.087,-60.134,0.081046,-47059.0,68.645,-68.809,0.1715,90.0,250.0,1.0,9.9469e-5,1.421e-5,10
Naphthalene,-57.57,0.67574,8101.6,40.308,7.2454,0.096021,145.52,0.041782,34.586,0.017844,60.241,0.79836,-42139.0,23.311,-54.741,0.052891,-45484.0,50.568,-63.312,0.12592,90.0,250.0,1.0,4.5152e-5,6.4503e-6,10
Butyrophenone ,-69.052,0.90807,9241.9,55.017,8.7346,0.12871,152.98,0.050967,32.896,0.023501,72.623,1.0702,-45895.0,34.577,-61.794,0.078014,-50469.0,76.372,-73.409,0.18888,90.0,250.0,1.0,5.5129e-5,9.1882e-6,9
2-Undecanone,-77.177,1.5369,10096.0,93.684,9.7634,0.21761,156.29,0.083305,31.244,0.030947,81.177,1.8093,-49078.0,52.207,-68.374,0.11535,-54460.0,131.97,-81.986,0.32602,90.0,250.0,1.0,0.000145,2.4167e-5,9
C13,-76.247,1.3388,10117.0,81.707,9.6049,0.18952,156.93,0.07171,30.897,0.026052,79.86,1.5757,-49775.0,45.134,-69.828,0.099479,-55120.0,115.68,-83.336,0.28571,90.0,250.0,1.0,0.00010998,1.833e-5,9
Decyl acetate,-85.226,2.1127,11137.0,132.88,10.779,0.2976,172.16,0.098243,31.294,0.043691,89.621,2.4744,-52686.0,77.145,-72.406,0.16724,-60049.0,218.55,-90.685,0.53298,90.0,250.0,0.99999,0.00029918,4.274e-5,10
Valerophenone ,-69.4,2.2118,9674.6,138.4,8.7058,0.31189,168.74,0.12683,33.507,0.068029,72.384,2.5932,-48454.0,102.23,-63.742,0.22483,-54153.0,229.66,-77.948,0.55793,90.0,250.0,0.99998,0.00056543,7.0679e-5,11
